lemme,cgram,genre,freqlem,forms
retourner,VER,,263.562,"retourner, retourné/retournée (retournant)"
descendre,VER,,262.23,"descendre, descendu/descendue (descendant)"
raconter,VER,,257.06,"raconter, raconté/racontée (racontant)"
paraître,VER,,252.52800000000002,"paraître, paru/parue (paraissant)"
jeter,VER,,250.036,"jeter, jeté/jetée (jetant)"
rappeler,VER,,249.94199999999998,"rappeler, rappelé/rappelée (rappelant)"
gagner,VER,,249.016,"gagner, gagné/gagnée (gagnant)"
toucher,VER,,238.26999999999998,"toucher, touché/touchée (touchant)"
espérer,VER,,234.62,"espérer, espéré/espérée (espérant)"
acheter,VER,,233.772,"acheter, acheté/achetée (achetant)"
manquer,VER,,231.42000000000002,"manquer, manqué/manquée (manquant)"
prier,VER,,230.16799999999998,"prier, prié/priée (priant)"
importer,VER,,224.86599999999999,"importer, importé/importée (important)"
fermer,VER,,222.054,"fermer, fermé/fermée (fermant)"
rencontrer,VER,,220.028,"rencontrer, rencontré/rencontrée (rencontrant)"
compter,VER,,218.156,"compter, compté/comptée (comptant)"
expliquer,VER,,214.12599999999998,"expliquer, expliqué/expliquée (expliquant)"
imaginer,VER,,213.034,"imaginer, imaginé/imaginée (imaginant)"
rire,VER,,212.36,"rire, ri (riant)"
reprendre,VER,,212.20800000000003,"reprendre, repris/reprise (reprenant)"
valoir,VER,,211.938,"valoir, valu/value (valant)"
décider,VER,,210.332,"décider, décidé/décidée (décidant)"
emmener,VER,,205.81399999999996,"emmener, emmené/emmenée (emmenant)"
agir,VER,,205.456,"agir, agi/agie (agissant)"
recevoir,VER,,205.422,"recevoir, reçu/reçue (recevant)"
suffire,VER,,203.004,"suffire, suffi (suffisant)"
cacher,VER,,195.23399999999998,"cacher, caché/cachée (cachant)"
courir,VER,,193.252,"courir, couru/courue (courant)"
battre,VER,,193.154,"battre, battu/battue (battant)"
offrir,VER,,192.276,"offrir, offert/offerte (offrant)"
pousser,VER,,190.93400000000003,"pousser, poussé/poussée (poussant)"
bouger,VER,,189.844,"bouger, bougé/bougée (bougeant)"
apporter,VER,,189.674,"apporter, apporté/apportée (apportant)"
coucher,VER,,187.664,"coucher, couché/couchée (couchant)"
sauver,VER,,187.54399999999998,"sauver, sauvé/sauvée (sauvant)"
désoler,VER,,184.146,"désoler, désolé/désolée (désolant)"
pleurer,VER,,180.308,"pleurer, pleuré/pleurée (pleurant)"
voler,VER,,178.752,"voler, volé/volée (volant)"
permettre,VER,,177.392,"permettre, permis/permise (permettant)"
reconnaître,VER,,176.11399999999998,"reconnaître, reconnu/reconnue (reconnaissant)"
disparaître,VER,,173.002,"disparaître, disparu/disparue (disparaissant)"
remettre,VER,,167.994,"remettre, remis/remise (remettant)"
préparer,VER,,166.246,"préparer, préparé/préparée (préparant)"
crier,VER,,166.05599999999998,"crier, crié/criée (criant)"
frapper,VER,,163.34799999999998,"frapper, frappé/frappée (frappant)"
vendre,VER,,161.226,"vendre, vendu/vendue (vendant)"
préférer,VER,,161.01600000000002,"préférer, préféré/préférée (préférant)"
conduire,VER,,159.648,"conduire, conduit/conduite (conduisant)"
marier,VER,,158.33399999999997,"marier, marié/mariée (mariant)"
accepter,VER,,157.368,"accepter, accepté/acceptée (acceptant)"
choisir,VER,,155.856,"choisir, choisi/choisie (choisissant)"
réveiller,VER,,155.728,"réveiller, réveillé/réveillée (réveillant)"
inquiéter,VER,,155.7,"inquiéter, inquiété/inquiétée (inquiétant)"
découvrir,VER,,153.792,"découvrir, découvert (découvrant)"
présenter,VER,,153.584,"présenter, présenté/présentée (présentant)"
revoir,VER,,153.488,"revoir, revu/revue (revoyant)"
ressembler,VER,,152.172,"ressembler, ressemblé (ressemblant)"
amener,VER,,151.76,"amener, amené/amenée (amenant)"
promettre,VER,,151.724,"promettre, promis/promise (promettant)"
chanter,VER,,150.12800000000001,"chanter, chanté/chantée (chantant)"
couper,VER,,149.844,"couper, coupé/coupée (coupant)"
approcher,VER,,149.05,"approcher, approché/approchée (approchant)"
taire,VER,,148.596,"taire, tu (taisant)"
refuser,VER,,147.484,"refuser, refusé/refusée (refusant)"
ramener,VER,,147.324,"ramener, ramené/ramenée (ramenant)"
empêcher,VER,,141.622,"empêcher, empêché/empêchée (empêchant)"
exister,VER,,141.01600000000002,"exister, existé/existée (existant)"
répéter,VER,,139.042,"répéter, répété/répétée (répétant)"
embrasser,VER,,138.382,"embrasser, embrassé/embrassée (embrassant)"
lâcher,VER,,138.324,"lâcher, lâché/lâchée (lâchant)"
sourire,VER,,137.54600000000002,"sourire, souri (souriant)"
ignorer,VER,,137.31,"ignorer, ignoré/ignorée (ignorant)"
avancer,VER,,135.372,"avancer, avancé/avancée (avançant)"
enlever,VER,,134.994,"enlever, enlevé/enlevée (enlevant)"
adorer,VER,,134.03799999999998,"adorer, adoré/adorée (adorant)"
casser,VER,,133.446,"casser, cassé/cassée (cassant)"
