lemme,cgram,genre,freqlem,forms
âge,NOM,m,178.526,"âge, âges"
arme,NOM,f,176.728,"arme, armes"
journée,NOM,f,176.69,"journée, journées"
soeur,NOM,f,175.398,"soeur, soeurs"
docteur,NOM,m,175.26,docteur/doctoresse docteurs
état,NOM,m,174.704,"état, états"
vérité,NOM,f,172.296,"vérité, vérités"
revoir,NOM,m,171.634,revoir
parent,NOM,m,171.56799999999998,parent/parente parents/parentes
service,NOM,m,169.70999999999998,"service, services"
général,NOM,m,169.654,général/générale généraux/générales
bruit,NOM,m,169.074,"bruit, bruits"
café,NOM,m,169.05599999999998,"café, cafés"
chemin,NOM,m,167.676,"chemin, chemins"
bouche,NOM,f,167.398,"bouche, bouches"
mer,NOM,f,166.994,"mer, mers"
fenêtre,NOM,f,166.41,"fenêtre, fenêtres"
photo,NOM,f,163.296,"photo, photos"
vieux,NOM,m,161.762,vieux/vieille vieux/vieilles
bureau,NOM,m,160.30599999999998,"bureau, bureaux"
sens,NOM,m,157.54199999999997,sens
premier,NOM,m,157.024,premier/première premiers/premières
jambe,NOM,f,156.67199999999997,jambe
cours,NOM,,156.534,cours
salle,NOM,f,156.47000000000003,"salle, salles"
doigt,NOM,m,153.874,"doigt, doigts"
papier,NOM,m,153.55,"papier, papiers"
merde,NOM,f,152.938,"merde, merdes"
cheval,NOM,m,149.176,"cheval, chevaux"
musique,NOM,f,147.608,"musique, musiques"
effet,NOM,m,146.99400000000003,"effet, effets"
retour,NOM,m,146.824,"retour, retours"
rêve,NOM,m,146.68200000000002,"rêve, rêves"
roi,NOM,m,146.086,"roi, rois"
dos,NOM,m,145.8,dos
âme,NOM,f,145.602,"âme, âmes"
journal,NOM,m,145.56,"journal, journaux"
attention,NOM,f,144.924,"attention, attentions"
milieu,NOM,m,144.594,"milieu, milieux"
sac,NOM,m,144.464,"sac, sacs"
faute,NOM,f,139.636,"faute, fautes"
coin,NOM,m,139.41000000000003,"coin, coins"
bord,NOM,m,139.18400000000003,"bord, bords"
travers,NOM,m,138.416,travers
patron,NOM,m,137.89,patron/patronne patrons/patronnes
maître,NOM,m,137.726,"maître, maîtres"
copain,NOM,m,136.524,copain/copine copains/copines
rapport,NOM,m,136.428,"rapport, rapports"
boulot,NOM,m,136.026,"boulot, boulots"
téléphone,NOM,m,135.208,"téléphone, téléphones"
épaule,NOM,f,134.93400000000003,"épaule, épaules"
confiance,NOM,f,134.524,"confiance, confiances"
vent,NOM,m,134.512,"vent, vents"
parole,NOM,f,133.412,"parole, paroles"
bébé,NOM,m,133.058,"bébé, bébés"
geste,NOM,,132.9,"geste, gestes"
arbre,NOM,m,132.44600000000003,"arbre, arbres"
hôtel,NOM,m,132.37,"hôtel, hôtels"
numéro,NOM,m,132.11599999999999,"numéro, numéros"
mariage,NOM,m,131.92199999999997,"mariage, mariages"
carte,NOM,f,131.544,"carte, cartes"
fête,NOM,f,131.202,"fête, fêtes"
voyage,NOM,m,129.93,"voyage, voyages"
couleur,NOM,f,128.838,"couleur, couleurs"
capitaine,NOM,m,128.642,"capitaine, capitaines"
paix,NOM,f,128.404,paix
peau,NOM,f,127.59,"peau, peaux"
aide,NOM,,127.57,"aide, aides"
dame,NOM,f,127.25999999999999,"dame, dames"
forme,NOM,f,127.19,"forme, formes"
oncle,NOM,m,127.106,"oncle, oncles"
espèce,NOM,f,126.58200000000001,"espèce, espèces"
fleur,NOM,f,125.606,"fleur, fleurs"
début,NOM,m,125.182,"début, débuts"
image,NOM,f,124.846,"image, images"
plan,NOM,m,124.11999999999998,"plan, plans"
seconde,NOM,f,123.32000000000001,"seconde, secondes"
oreille,NOM,f,121.77200000000002,"oreille, oreilles"
flic,NOM,m,121.072,"flic, flics"
ombre,NOM,,120.782,"ombre, ombres"
habitude,NOM,f,120.71600000000001,"habitude, habitudes"
armée,NOM,f,119.262,"armée, armées"
gueule,NOM,f,119.104,"gueule, gueules"
prix,NOM,m,118.92999999999999,prix
ligne,NOM,f,118.818,"ligne, lignes"
or,NOM,m,118.16799999999999,"or, ors"
président,NOM,m,117.898,président/présidente présidents/présidentes
cul,NOM,m,117.81,"cul, culs"
chéri,NOM,,117.69999999999999,chéri/chérie chéris/chéries
prison,NOM,f,117.46600000000001,"prison, prisons"
honneur,NOM,m,117.358,"honneur, honneurs"
souvenir,NOM,m,116.75600000000001,"souvenir, souvenirs"
seigneur,NOM,m,116.34799999999998,"seigneur, seigneurs"
soldat,NOM,m,116.32,soldat/soldate soldats
pierre,NOM,f,116.24600000000001,"pierre, pierres"
impression,NOM,f,116.22200000000001,"impression, impressions"
nez,NOM,m,116.164,nez
village,NOM,m,115.088,"village, villages"
sujet,NOM,m,114.548,"sujet, sujets"
médecin,NOM,m,114.35799999999999,"médecin, médecins"
signe,NOM,m,114.15,"signe, signes"
pouvoir,NOM,m,113.886,"pouvoir, pouvoirs"
bonheur,NOM,m,112.18799999999999,"bonheur, bonheurs"
propos,NOM,m,111.63799999999999,propos
groupe,NOM,m,111.62799999999999,"groupe, groupes"
lèvre,NOM,f,111.558,"lèvre, lèvres"
balle,NOM,f,111.078,"balle, balles"
scène,NOM,f,110.748,"scène, scènes"
vue,NOM,f,110.46000000000001,"vue, vues"
jardin,NOM,m,110.44999999999999,"jardin, jardins"
robe,NOM,f,109.93,"robe, robes"
peuple,NOM,m,109.736,"peuple, peuples"
avis,NOM,m,109.588,avis
être,NOM,m,109.442,"être, êtres"
intérieur,NOM,m,108.418,"intérieur, intérieurs"
sentiment,NOM,m,108.352,"sentiment, sentiments"
avion,NOM,m,108.226,"avion, avions"
chat,NOM,m,108.096,chat/chatte chats/chattes
odeur,NOM,f,108.01400000000001,"odeur, odeurs"
camp,NOM,m,107.85,"camp, camps"
bateau,NOM,m,107.836,"bateau, bateaux"
sourire,NOM,m,107.784,"sourire, sourires"
garde,NOM,,107.518,"garde, gardes"
situation,NOM,f,107.338,"situation, situations"
