lemme,cgram,genre,freqlem,forms
oui-da,ONO,,0.19,oui-da
bernique,ONO,,0.188,bernique
pouic,ONO,,0.188,pouic
hi-han,ONO,,0.176,hi-han
flop,ONO,,0.16400000000000003,flop
polope,ONO,,0.164,polope
vertubleu,ONO,,0.162,vertubleu
hem,ONO,,0.14,hem
gna gna,ONO,,0.14,gna gna
pin-pon,ONO,,0.136,pin-pon
prout,ONO,,0.132,prout
tchin-tchin,ONO,,0.12200000000000001,tchin-tchin
mordieu,ONO,,0.12,mordieu
cristi,ONO,,0.118,cristi
cot cot codec,ONO,,0.11200000000000002,cot cot codec
fouchtra,ONO,,0.10800000000000001,fouchtra
am stram gram,ONO,,0.10400000000000001,am stram gram
palsambleu,ONO,,0.09800000000000002,palsambleu
houp,ONO,,0.098,houp
clic-clac,ONO,,0.088,clic-clac
psitt,ONO,,0.08600000000000002,psitt
boudiou,ONO,,0.08000000000000002,boudiou
acré,ONO,,0.08000000000000002,acré
pchitt,ONO,,0.08000000000000002,pchitt
scrogneugneu,ONO,,0.08000000000000002,scrogneugneu
eurêka,ONO,,0.08000000000000002,eurêka
pristi,ONO,,0.08000000000000002,pristi
bouf,ONO,,0.068,bouf
turlututu,ONO,,0.062000000000000006,turlututu
macarelle,ONO,,0.05600000000000001,macarelle
qui-vive,ONO,,0.05600000000000001,qui-vive
badabam,ONO,,0.05600000000000001,badabam
merdre,ONO,,0.052000000000000005,merdre
rantanplan,ONO,,0.046,rantanplan
merdasse,ONO,,0.04000000000000001,merdasse
beuark,ONO,,0.034,beuark
cric-crac,ONO,,0.028000000000000004,cric-crac
balle-peau,ONO,,0.028000000000000004,balle-peau
à-dieu-vat,ONO,,0.028000000000000004,à-dieu-vat
ventre-saint-gris,ONO,,0.028000000000000004,ventre-saint-gris
macarel,ONO,,0.028000000000000004,macarel
jarnicoton,ONO,,0.028000000000000004,jarnicoton
zzzz,ONO,,0.028000000000000004,zzzz
tacatacatac,ONO,,0.028000000000000004,tacatacatac
pfutt,ONO,,0.028000000000000004,pfutt
mâtin,ONO,,0.028000000000000004,mâtin
pollope,ONO,,0.028000000000000004,pollope
skaal,ONO,,0.028000000000000004,skaal
sacrédié,ONO,,0.028000000000000004,sacrédié
rataplan,ONO,,0.028000000000000004,rataplan
tacatac,ONO,,0.028000000000000004,tacatac
zzz,ONO,,0.024,zzz
patapouf,ONO,,0.018,patapouf
gué,ONO,,0.012,gué
ventrebleu,ONO,,0.012,ventrebleu
ollé,ONO,,0.012,ollé
goddam,ONO,,0.006,goddam
re-belote,ONO,,0.006,re-belote
