lemme,cgram,genre,freqlem,forms
national,ADJ,m,59.982000000000006,national/nationale nationaux/nationales
excellent,ADJ,m,59.426,excellent/excellente excellents/excellentes
allemand,ADJ,m,59.41199999999999,allemand/allemande allemands/allemandes
nécessaire,ADJ,,58.444,"nécessaire, nécessaires"
rapide,ADJ,,57.965999999999994,"rapide, rapides"
idiot,ADJ,m,57.732,idiot/idiote idiots/idiotes
personnel,ADJ,m,56.612,personnel/personnelle personnels/personnelles
jaune,ADJ,,56.598,"jaune, jaunes"
immense,ADJ,,55.692,"immense, immenses"
entendu,ADJ,m,55.56,entendu/entendue entendus/entendues
fin,ADJ,m,55.358000000000004,fin/fine fins/fines
unique,ADJ,,55.314,"unique, uniques"
ridicule,ADJ,,55.158,"ridicule, ridicules"
rare,ADJ,,54.854,"rare, rares"
chéri,ADJ,m,54.636,chéri/chérie chéris/chéries
large,ADJ,,54.196,"large, larges"
naturel,ADJ,m,54.14,naturel/naturelle naturels/naturelles
compris,ADJ,m,54.108000000000004,compris/comprise compris/comprises
stupide,ADJ,,54.05,"stupide, stupides"
incroyable,ADJ,,53.858000000000004,"incroyable, incroyables"
sympa,ADJ,,53.141999999999996,"sympa, sympas"
public,ADJ,m,52.994,public/publique publics/publiques
intéressant,ADJ,m,52.962,intéressant/intéressante intéressants/intéressantes
rose,ADJ,,52.664,"rose, roses"
parfait,ADJ,m,52.642,parfait/parfaite parfaits/parfaites
sacré,ADJ,m,52.208,sacré/sacrée sacrés/sacrées
vif,ADJ,m,51.798,vif/vive vifs/vives
immobile,ADJ,,51.386,"immobile, immobiles"
politique,ADJ,,51.178000000000004,"politique, politiques"
nombreux,ADJ,m,50.892,nombreux/nombreuse nombreux/nombreuses
bête,ADJ,,50.686,"bête, bêtes"
horrible,ADJ,,50.52,"horrible, horribles"
deuxième,ADJ,,50.001999999999995,"deuxième, deuxièmes"
ami,ADJ,m,49.812,ami/amie amis/amies
charmant,ADJ,m,49.166,charmant/charmante charmants/charmantes
étranger,ADJ,m,48.834,étranger/étrangère étrangers/étrangères
intelligent,ADJ,m,48.778,intelligent/intelligente intelligents/intelligentes
mignon,ADJ,m,47.257999999999996,mignon/mignonne mignons/mignonnes
curieux,ADJ,m,47.104,curieux/curieuse curieux/curieuses
moyen,ADJ,m,47.089999999999996,moyen/moyenne moyens/moyennes
con,ADJ,m,46.766000000000005,con/conne cons/connes
malheureux,ADJ,m,46.316,malheureux/malheureuse malheureux/malheureuses
formidable,ADJ,,46.266,"formidable, formidables"
sur,ADJ,m,46.04,sur/sure surs/sures
méchant,ADJ,m,45.641999999999996,méchant/méchante méchants/méchantes
commun,ADJ,m,45.428,commun/commune communs/communes
perdu,ADJ,m,45.256,perdu/perdue perdus/perdues
faible,ADJ,,44.728,"faible, faibles"
nerveux,ADJ,m,44.564,nerveux/nerveuse nerveux/nerveuses
anglais,ADJ,m,44.007999999999996,anglais/anglaise anglais/anglaises
précis,ADJ,m,43.682,précis/précise précis/précises
honnête,ADJ,,43.629999999999995,"honnête, honnêtes"
blond,ADJ,m,43.574000000000005,blond/blonde blonds/blondes
arrivé,ADJ,m,43.544,arrivé/arrivée arrivés/arrivées
pâle,ADJ,,43.332,"pâle, pâles"
puissant,ADJ,m,43.074,puissant/puissante puissants/puissantes
lointain,ADJ,m,42.855999999999995,lointain/lointaine lointains/lointaines
vu,ADJ,m,42.61,vu/vue vus/vues
épais,ADJ,m,42.358,épais/épaisse épais/épaisses
joyeux,ADJ,m,42.178,joyeux/joyeuse joyeux/joyeuses
double,ADJ,,41.872,"double, doubles"
superbe,ADJ,,41.592,"superbe, superbes"
vieil,ADJ,m,41.30199999999999,vieil
troisième,ADJ,,41.272000000000006,"troisième, troisièmes"
mince,ADJ,,41.166000000000004,"mince, minces"
censé,ADJ,m,40.756,censé/censée censés/censées
nul,ADJ,m,40.746,nul/nulle nuls/nulles
social,ADJ,m,40.56,social/sociale sociaux/sociales
fait,ADJ,m,40.366,fait/faite faits/faites
demi,ADJ,m,40.36,demi/demie demis/demies
utile,ADJ,,40.074,"utile, utiles"
véritable,ADJ,,40.048,"véritable, véritables"
coupable,ADJ,,39.936,"coupable, coupables"
dingue,ADJ,,39.763999999999996,"dingue, dingues"
réel,ADJ,m,39.60000000000001,réel/réelle réels/réelles
inquiet,ADJ,m,39.596000000000004,inquiet/inquiète inquiets/inquiètes
cool,ADJ,,39.449999999999996,cool
bref,ADJ,m,39.298,bref/brève brefs/brèves
brillant,ADJ,m,39.258,brillant/brillante brillants/brillantes
rond,ADJ,m,38.790000000000006,rond/ronde ronds/rondes
russe,ADJ,,38.766000000000005,"russe, russes"
inconnu,ADJ,m,38.606,inconnu/inconnue inconnus/inconnues
égal,ADJ,m,38.576,égal/égale égaux/égales
agréable,ADJ,,38.548,"agréable, agréables"
aveugle,ADJ,,38.522,"aveugle, aveugles"
suivant,ADJ,m,37.718,suivant/suivante suivants/suivantes
principal,ADJ,m,37.576,principal/principale principaux/principales
tendre,ADJ,,37.456,"tendre, tendres"
silencieux,ADJ,m,36.826,silencieux/silencieuse silencieux/silencieuses
étroit,ADJ,m,36.798,étroit/étroite étroits/étroites
affreux,ADJ,m,36.76,affreux/affreuse affreux/affreuses
sauvage,ADJ,,36.672,"sauvage, sauvages"
éternel,ADJ,m,36.67,éternel/éternelle éternels/éternelles
particulier,ADJ,m,36.542,particulier/particulière particuliers/particulières
jaloux,ADJ,m,36.478,jaloux/jalouse jaloux/jalouses
responsable,ADJ,,36.333999999999996,"responsable, responsables"
enchanté,ADJ,m,36.188,enchanté/enchantée enchantés/enchantées
sage,ADJ,,35.914,"sage, sages"
sexuel,ADJ,m,35.906,sexuel/sexuelle sexuels/sexuelles
sourd,ADJ,m,35.686,sourd/sourde sourds/sourdes
violent,ADJ,m,35.59,violent/violente violents/violentes
lent,ADJ,m,35.494,lent/lente lents/lentes
fermé,ADJ,m,35.416000000000004,fermé/fermée fermés/fermées
bien,ADJ,,35.193999999999996,bien
brun,ADJ,m,35.168000000000006,brun/brune bruns/brunes
complet,ADJ,m,35.162,complet/complète complets/complètes
vaste,ADJ,,34.896,"vaste, vastes"
vain,ADJ,m,34.734,vain/vaine vains/vaines
venu,ADJ,m,34.358000000000004,venu/venue venus/venues
soudain,ADJ,m,34.28,soudain/soudaine soudains/soudaines
fatigué,ADJ,m,34.164,fatigué/fatiguée fatigués/fatiguées
enceinte,ADJ,f,34.132,"enceinte, enceintes"
supérieur,ADJ,m,34.108,supérieur/supérieure supérieurs/supérieures
obscur,ADJ,m,33.664,obscur/obscure obscurs/obscures
bel,ADJ,m,33.646,bel
extraordinaire,ADJ,,33.55200000000001,"extraordinaire, extraordinaires"
plat,ADJ,m,33.5,plat/plate plats/plates
mystérieux,ADJ,m,33.226,mystérieux/mystérieuse mystérieux/mystérieuses
ferme,ADJ,,33.176,"ferme, fermes"
juif,ADJ,m,33.076,juif/juive juifs/juives
furieux,ADJ,m,33.022,furieux/furieuse furieux/furieuses
évident,ADJ,m,32.986000000000004,évident/évidente évidents/évidentes
malin,ADJ,m,32.974000000000004,malin/maligne malins/malignes
in,ADJ,,32.95,in
innocent,ADJ,m,32.83,innocent/innocente innocents/innocentes
maigre,ADJ,,32.718,"maigre, maigres"
brave,ADJ,,32.558,"brave, braves"
fameux,ADJ,m,32.446,fameux/fameuse fameux/fameuses
célèbre,ADJ,,32.434,"célèbre, célèbres"
britannique,ADJ,,32.426,"britannique, britanniques"
vague,ADJ,,32.32,"vague, vagues"
cruel,ADJ,m,31.740000000000002,cruel/cruelle cruels/cruelles
sensible,ADJ,,31.613999999999997,"sensible, sensibles"
total,ADJ,m,31.402,total/totale totaux/totales
incapable,ADJ,,31.046,"incapable, incapables"
saint,ADJ,m,31.04,saint/sainte saints/saintes
prudent,ADJ,m,30.723999999999997,prudent/prudente prudents/prudentes
invisible,ADJ,,30.67,"invisible, invisibles"
privé,ADJ,m,30.619999999999997,privé/privée privés/privées
précieux,ADJ,m,30.472,précieux/précieuse précieux/précieuses
italien,ADJ,m,30.292,italien/italienne italiens/italiennes
solide,ADJ,,30.134,"solide, solides"
noble,ADJ,,29.868000000000002,"noble, nobles"
maudit,ADJ,m,29.308,maudit/maudite maudits/maudites
digne,ADJ,,29.282000000000004,"digne, dignes"
minuscule,ADJ,,29.192,"minuscule, minuscules"
fidèle,ADJ,,29.009999999999998,"fidèle, fidèles"
délicieux,ADJ,m,28.992,délicieux/délicieuse délicieux/délicieuses
gai,ADJ,m,28.704,gai/gaie gais/gaies
voisin,ADJ,m,28.478,voisin/voisine voisins/voisines
futur,ADJ,m,28.46,futur/future futurs/futures
délicat,ADJ,m,28.323999999999998,délicat/délicate délicats/délicates
gras,ADJ,m,28.154000000000003,gras/grasse gras/grasses
intérieur,ADJ,m,28.146,intérieur/intérieure intérieurs/intérieures
humide,ADJ,,28.062,"humide, humides"
net,ADJ,m,28.05,net/nette nets/nettes
fragile,ADJ,,27.67,"fragile, fragiles"
pressé,ADJ,m,27.622,pressé/pressée pressés/pressées
élevé,ADJ,m,27.284,élevé/élevée élevés/élevées
nouvel,ADJ,m,27.246000000000002,nouvel
