word,pos,definition
Coqueron,n.m.,Fam. Logement exigu.
Coquetel,n.m.,Cocktail.
Cossin,n.m.,Babiole.
"Couetté, E",adj.,Ébouriffé.
Couraillage,n.m.,Action de courailler.
"Courailleur, Euse",adj et n.,Qui couraille.
Courriel,n.m.,Mot-valise forgé à partir des mots « COURRIer » et « ÉLectronique ».
Cramper,vt.,Braquer les roues d'une voiture.
Crapet,n.m.,Poisson d'eau douce au corps très coloré.
Créditiste,n.,Partisan de la doctrine du crédit social.
Cretons,n.m.pl.,Charcuterie généralement constituée de viande de porc hachée.
Croche,adj.,1 - Courbe; crochu; voûté : Des jambes croches. 2 - Qui n'est pas droit : Un mur croche. 3 - Fig. Malhonnête : Un homme d'affaires croche.
Crochir,vt.,"Courber, tordre."
Croustille,n.f.,Chips.
Cuirette,n.f.,Similicuir.
Débarbouillette,n.f.,Pièce de tissu-éponge pour la toilette.
Débenture,n.f. fin.,Obligation non garantie.
Débossage,n.m.,Action de débosseler.
"Débosseleur, Euse",n.,"Carrossier, tôlier."
Débosser,vt.,Débosseler.
"Décrocheur, Euse",n.,Élève qui abandonne ses études.
Dégêner,vt.,Mettre à l'aise.
Déniaiser,vt.,1 - Rendre moins niais. 2 - Faire perdre à quelqu'un son innocence en matière sexuelle. 3 - Détourner quelqu'un de ses devoirs; le débaucher.
Denturologie,n.f.,Technique de la prothèse dentaire.
Denturologiste,n.,Prothésiste dentaire.
Dépanneur,n.m.,Petite épicerie de proximité dont les heures d'ouverture excèdent celles des autres commerces.
Déparler,vi.,Parler inconsidérément; dire n'importe quoi.
Dépendamment /,adv.,Selon.
Désâmer,v.pr.,Se donner beaucoup de mal.
Désennui,n.m.,Action de désennuyer. - Distraction.
Dévierger,vt. fam.,Déflorer.
Dézoner,vt. pol.,Changer un territoire de zone.
Diachylon,n.m.,Petit pansement adhésif.
Diététiste,n.,Diététicien.
Disable,adj.,"N'être pas disable : être indescriptible, excessif."
Divulgâcher,vt.,Spoiler.
Douance,n.f.,Qualité d'une personne douée.
"Doubleur, Euse",n.,Redoublant.
Drave,n.f.,Flottage du bois.
Draver,vt.,Transporter du bois par flottage.
"Draveur, Euse",n.,Ouvrier qui fait la drave.
Écartiller,vt.,Écarter (des parties du corps).
Écharogner,vt.,Couper maladroitement.
Échiffer,vt.,Effilocher.
Échouerie,n.f.,Rivage où se rassemblent phoques et otaries.
Écocentre,n.m.,Centre où l'on peut déposer des déchets.
Écoeuranterie,n.f.,"Parole, action répugnante."
Écourticher,vt.,Couper un vêtement trop court.
Écrapoutir,vt.,Écraser.
Efface,n.f.,Gomme à effacer.
Éloise,n.f.,"En Acadie, éclair d'orage."
Embâcler,vt.,Embarrasser.
Emboucaner,vt.,Enfumer.
Embourrer,vt et v.pr.,Envelopper; empaqueter. - S'envelopper; se blottir.
Embouveter,vt.,(J’embouvète ou j’embouvette) Assembler des pièces de bois munies de rainures et de languettes.
Emmieuter,vt.,"Rendre meilleur, changer en mieux."
Empilade,n.f. sp.,Entassement pêle-mêle.
Encalmer,v.pr. mar.,(Ou ENCALMINER) S'immobiliser par manque de vent.
Encanter,vt.,Vendre aux enchères.
"Encanteur, Euse",n.,Commissaire-priseur.
Endisquer,vt.,Enregistrer sur un disque.
Endormitoire,n.f.,Envie de dormir.
Enfarger,vt.,Faire trébucher.
Enfirouaper,vt.,"Emberlificoter, tromper."
"Ennuyant, E",adj.,Ennuyeux.
"Épeurant, E",adj.,Qui fait peur.
Épeurer,vt.,Faire peur à quelqu'un; effrayer.
Épinette,n.f.,Épicéa.
Épivarder,vt.,"S'agiter, faire le fou."
Épluchette,n.f.,"Réunion, fête."
Étriver,vt.,Taquiner.
Évacher,v.pr. fam.,S'affaler. - S'avachir.
"Évaluateur, Trice",n.,Personne qui évalue un bien.
Extrant,n.m. inf.,Donnée en sortie.
Falle /,n.f.,Avoir la falle basse : avoir grand-faim.
Fardoches,n.f.pl.,Broussailles.
Farlouche,n.f.,(Ou FERLOUCHE) Garniture pour tarte.
Félix,n.m.,Récompense musicale.
Fifi,n.m.,Homosexuel.
Flânage,n.m.,Flânerie.
Flanelette,n.f.,Finette.
Forçail /,loc.,Au forçail : à la rigueur.
Francisme,n.m.,Tournure propre au français de France.
Francophoniser,vt.,Amener un organisme à employer plus de francophones.
Frasil,n.m.,Pellicule de glace qui se forme sur l'eau.
Frédéric,n.m.,Bruant à gorge blanche.
"Fret, Frette",adj.,Fam. Froid; très froid : Se baigner dans l'eau frette.
Frimasser,vt.,Produire du givre. - Se frimasser : se couvrir de givre.
Frolic,n.m.,"En Acadie, grande fête populaire."
Fruitages,n.m.pl.,Petits fruits comestibles qui poussent à l'état sauvage.
Fudge,n.m.,Confiserie fondante aromatisée au chocolat.
Gadelier,n.m.,(Ou GADELLIER) Arbuste qui produit des gadelles.
Gadelle,n.f.,Groseille.
Galipote,n.f.,"Courir la galipote, chercher des aventures galantes."
Garnotte,n.f.,Gravier.
Garrocher,vt.,Lancer.
"Gaspareau, X",n.m.,Petit poisson marin d’Amérique du Nord. - Alose.
Gazou,n.m.,Instrument de musique folklorique.
Giguer,vt.,Exécuter une danse comme une gigue.
"Glaciel, Elle",adj et n.m.,Relatif aux glaces flottantes.
"Godé, E",adj.,"Vêtement, jupe à godets."
Godendart,n.m.,Grosse scie.
Gorgoton,n.m.,Gosier.
Gosser,vt.,Travailler le bois avec un couteau.
Gougoune,n.f.,Tong.
Gourgane,n.f.,Fève des marais.
Grafigner,vt.,Égratigner.
Gribiche,n.f.,Femme acariâtre.
Grignotine,n.f.,Amuse-gueule salé.
Grilladerie,n.f.,Rôtisserie.
Gripette,n.m.,Enfant coléreux.
Guédille,n.f.,Hotdog garni de salade.
Guenillou,n.m.,Personne mal habillée.
Guidoune,n.f.,"Femme facile, prostituée."
Guignolée,n.f.,Quête effectuée pendant les fêtes.
Habit,n.m.,"Habit de neige, vêtement d'extérieur, porté surtout par les enfants, couvrant tout le corps et destiné à protéger du froid."
Hameçonnage,n.m.,"Technique de fraude par courriel, basée sur l'usurpation d'identité de banques ou d'entreprises commerciales, afin d'obtenir de particuliers des renseignements confidentiels."
Hivernement,n.m.,Action d'hiverner.
Huard,n.m. zool.,(Ou HUART) Plongeon arctique.
Humidex,n.m et adj.,Indice météorologique exprimant l'effet combiné (chaleur-humidité).
Hydrangée,n.f.,(Ou HYDRANGÉA).
Icitte /,adv. fam.,Ici.
"Idéateur, Trice",1. n.,Concepteur.
Infolettre,n.f.,(Ou NEWSLETTER).
