"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche
"exocet (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-24,2004-07-01,"Poisson des mers chaudes ou tempérées, à la nageoire caudale échancrée, et aux nageoires pectorales hypertrophiées et développées en forme d'ailes, qui lui permettent d'effectuer des sauts planés sur de longues distances au-dessus de la surface de l'eau (famille des exocétidés).",flying fish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198646/exocet
"préalable (n. m.)",normalisation,"éducation > programme d'études",2004-08-01,1982-01-01,Cours qui doit en précéder un autre dans un programme de formation ou dont les éléments doivent avoir été assimilés pour permettre d'accéder à un autre cours.,prerequisite course,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198647/prealable
"préalable (n. m.)",normalisation,"éducation > admission",2004-08-01,1982-01-01,"Condition (âge, aptitude physique, connaissances, compétences, habiletés, etc.) qui doit être remplie avant de commencer ou de poursuivre un programme de formation.",prerequisite,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198648/prealable
"plaider coupable (loc. v.)",normalisation,"droit > droit pénal et criminel;criminologie",2004-03-01,1993-03-31,Répondre à un chef d'accusation par la reconnaissance de sa culpabilité.,plead guilty,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198649/plaider-coupable
"omble de fontaine (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-07-04,1994-09-01,,brook trout,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198650/omble-de-fontaine
"rente (n. f.)",normalisation,"assurance > assurance vie;assurance > rente",2004-01-01,1980-10-01,Somme payable périodiquement en contrepartie de l'aliénation d'un capital constitué par des cotisations ou des primes.,annuity,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198651/rente
"copropriété (n. f.)",recommandation,"droit > droit civil;commerce > immobilier",2022-01-13,2022-01-02,"Régime juridique de propriété qui consiste en la répartition du droit de propriété d'un bien meuble ou d'un bien immeuble entre plusieurs personnes, lesquelles sont copropriétaires.",co-ownership,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198664/copropriete
"immeuble en copropriété (n. m.)",recommandation,"industrie de la construction > type de bâtiment;commerce > immobilier",2022-01-13,2022-01-02,"Immeuble dont le droit de propriété est détenu par plusieurs personnes, lesquelles en sont copropriétaires.",building held in co-ownership,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198665/immeuble-en-copropriete
"traversier (n. m.) [Québec/Canada]",normalisation,"marine > bateau",2003-05-01,1980-05-01,"Navire spécialement conçu pour effectuer la traversée de passagers, de véhicules ou de wagons d'une rive à l'autre d'un fleuve, d'une rivière, d'un lac ou d'un bras de mer.",ferryboat,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198666/traversier
"averse de neige (n. f.)",normalisation,"science de l'atmosphère > météorologie",2000-07-01,1980-05-01,"Chute de neige, subite et abondante, quelquefois violente, mais de courte durée.",snow flurry,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198667/averse-de-neige
"bénéficiaire (n. m. ou f.)",normalisation,"assurance > régime de retraite;droit > droit du travail;appellation de personne > titre et fonction",2004-09-01,1994-03-01,"Personne, autre que le participant, qui a droit à des prestations d'un régime de retraite.",beneficiary,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198668/beneficiaire
"promoteur de régime (n. m.);promotrice de régime (n. f.)",normalisation,"assurance > régime de retraite;assurance > rente;appellation de personne > titre et fonction",1998-01-01,1993-03-31,Personne physique ou morale qui crée un régime de retraite ou procure les fonds nécessaires pour respecter les engagements du régime.,plan sponsor,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198669/promoteur-de-regime
"franchiseur (n. m.);franchiseuse (n. f.)",recommandation,"droit > droit commercial;commerce;entreprise",2002-05-01,1997-07-01,Entreprise propriétaire de l'ensemble des éléments tangibles et intangibles constituant un savoir-faire commercial qu'elle concède par contrat aux franchisés.,franchisor,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198672/franchiseur
"franchisé (n. m.)",normalisation,"droit > droit commercial;commerce;appellation de personne",2006-07-01,1997-07-01,"Personne physique ou morale juridiquement indépendante du franchiseur, mais qui s'engage par contrat à commercer sous l'enseigne et dans le réseau commercial du franchiseur, selon des normes préétablies en accord avec le franchiseur, et sous son contrôle.",franchisee,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198673/franchise
"susceptible d'appel (loc. adj.)",normalisation,"droit > droit judiciaire",2000-06-01,1995-12-01,Se dit d'une décision dont on peut appeler.,appealable,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198674/susceptible-dappel
"gicleur (n. m.)",normalisation,"incendie > extincteur d'incendie",2000-08-01,1997-07-01,Dispositif fixé sur une conduite d'eau sous pression et qui libère automatiquement un jet d'eau sur un foyer d'incendie lorsque l'air ambiant atteint une température prédéterminée.,sprinkler,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198675/gicleur
"directeur d'école (n. m.);directrice d'école (n. f.)",normalisation,"administration publique;éducation;appellation de personne > appellation d'emploi",2000-09-01,1982-01-01,Personne chargée de la gestion et de l'administration d'un établissement d'enseignement primaire ou secondaire.,school principal,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198676/directeur-decole
"conditions d'admission (n. f. pl.)",normalisation,"assurance > régime de retraite;assurance > rente",1998-01-01,1992-02-01,Ensemble des conditions à remplir pour devenir participant à un régime de retraite.,eligibility requirements,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198677/conditions-dadmission
"conditions d'attribution (n. f. pl.)",normalisation,"assurance > régime de retraite;assurance > rente",1998-01-01,1992-02-01,Ensemble des conditions à remplir pour avoir droit à des prestations d'un régime de retraite.,participation requirements,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198678/conditions-dattribution
"régime à prestation cible (n. m.)",normalisation,"assurance > régime de retraite",1998-01-01,1991-02-01,Régime de retraite à cotisation déterminée dans lequel la cotisation est fixée en fonction d'un objectif de revenu de retraite établi selon les caractéristiques d'un régime à prestations déterminées.,target benefit plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198679/regime-a-prestation-cible
"régime à élément de retraite (n. m.)",normalisation,"assurance > régime de retraite",1998-01-01,1989-11-01,Régime de retraite à prestations déterminées dans lequel la rente est fonction des services validés.,unit benefit plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198680/regime-a-element-de-retraite
"régime de retraite agréé (n. m.)",normalisation,"assurance > régime de retraite;assurance > rente",1998-01-01,1980-02-01,Régime de retraite ayant reçu d'un organisme d'État l'autorisation d'existence et de fonctionnement.,registered pension plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198681/regime-de-retraite-agree
"élève ordinaire (n. m. ou f.)",normalisation,"éducation > statistique scolaire;éducation > catégorie d'élèves",1998-01-01,1988-04-01,"Élève qui fréquente la classe où l'enseignement est dispensé selon les méthodes pédagogiques conçues pour la majorité des élèves, par opposition aux autres catégories d'élèves.",,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198682/eleve-ordinaire
"régime à la carte (n. m.)",normalisation,"administration publique > sécurité sociale",1998-01-01,1980-10-01,"Régime d'avantages sociaux qui permet au participant, sous réserve de certaines limites, de choisir les prestations les mieux adaptées à sa situation.",cafeteria plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198683/regime-a-la-carte
"régime de retraite à participation différée aux bénéfices (n. m.)",normalisation,"assurance > régime de retraite;assurance > rente",1999-02-01,1981-03-01,"Régime de retraite à cotisation déterminée dans lequel la cotisation patronale, sous réserve d'un minimum, est fonction des bénéfices de l'entreprise.",deferred profit-sharing pension plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198684/regime-de-retraite-a-participation-differee-aux-benefices
