"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche 
"vivaneau (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,snapper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198962/vivaneau
"thazard (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-09-01,,kingmackerel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198963/thazard
"tautogue noir (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,tautog,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198964/tautogue-noir
"tanche-tautogue (n. f.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,cunner,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198965/tanche-tautogue
"tambour croca (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,spot,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198966/tambour-croca
"tambour brésilien (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,Atlantic croaker,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198967/tambour-bresilien
"suceur blanc (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,silver redhorse,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198968/suceur-blanc
"stromatée lune (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-07-01,,harvestfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198969/stromatee-lune
"stromatée (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-07-01,,butterfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198970/stromatee
"spare tête-de-mouton (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2012-05-03,1988-03-31,,sheepshead,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198971/spare-tete-de-mouton
"spare doré (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-07-01,,scup,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198972/spare-dore
"spare épineux (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-07-01,,longspine porgy,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198973/spare-epineux
"serran chèvre (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-09-01,,comber,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198974/serran-chevre
"sériole (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-07-01,,greater amberjack,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198975/seriole
"sélar (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-09-01,,goggle-eye,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198976/selar
"sébaste canari (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-07-01,,canary rockfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198977/sebaste-canari
"sabre (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-03-30,1989-09-01,,Atlantic cutlassfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198978/sabre
"roussette maillée (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-03-30,1989-09-01,,chain dogfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198979/roussette-maillee
"rouget-barbet doré (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-03-30,1989-09-01,,red goatfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198980/rouget-barbet-dore
"rouget (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-29,1989-09-01,,goatfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198981/rouget
"pourceau (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,barred hogfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198982/pourceau
"pompano (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-29,1989-09-01,,pompano,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198983/pompano
"pastenague (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-29,1989-09-01,,stingray,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198984/pastenague
"thazard tacheté (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1989-09-01,,Spanish mackerel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198985/thazard-tachete
"pagre à points bleus (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-29,1989-09-01,,blue spotted sea bream,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198986/pagre-a-points-bleus
"pagre (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-29,1989-09-01,,red porgy,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198987/pagre
"pageot acarné (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-31,1989-09-01,,axillary bream,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198988/pageot-acarne
"orphie (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-31,1989-09-01,,garfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198989/orphie
"mulet cabot (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-31,1989-09-01,,striped mullet,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198990/mulet-cabot
"morue-lingue (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-31,1989-09-01,,lingcod,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198991/morue-lingue
"morue du Pacifique (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,Pacific cod,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198992/morue-du-pacifique
"mérou oualioua (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,rock hind,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198993/merou-oualioua
"mérou nègre (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-31,1989-09-01,,red grouper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198994/merou-negre
"mérou couronné (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,red hind,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198995/merou-couronne
"maquereau espagnol (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-30,1989-09-01,,chub mackerel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198997/maquereau-espagnol
"malachigan (n. m.)",normalisation,"alimentation > poisson comestible;zoologie > ichtyologie",2011-06-22,1989-09-01,,freshwater drum,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198998/malachigan
"lingue (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-21,1989-09-01,,ling,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198999/lingue
"lançon (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,sand eel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199000/lancon
"lamproie (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-21,1989-09-01,,lamprey,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199001/lamproie
"grande argentine (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,argentine,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199002/grande-argentine
"grand tambour (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,black drum,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199003/grand-tambour
"goberge de l'Alaska (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,walleye pollock,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199004/goberge-de-lalaska
"girelle (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,rainbow wrasse,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199005/girelle
"dorade royale (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-21,1989-09-01,,gilthead bream,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199006/dorade-royale
"cobia (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,cobia,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199007/cobia
"dorade rose (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-03-15,1989-09-01,,red sea bream,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199008/dorade-rose
"demoiselle bleue (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,blue angelfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199009/demoiselle-bleue
"daubenet loto (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,saucereye porgy,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199010/daubenet-loto
"cyprin doré (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-06-27,1989-09-01,,goldfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199011/cyprin-dore
"chanos (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,milkfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199012/chanos
"grondin (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,robin fish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199013/grondin
"grenadier (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-20,1989-09-01,,grenadier,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199016/grenadier
"daubenet bouton (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,knobbed porgy,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199017/daubenet-bouton
"brème d'Amérique (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1980-12-01,,quillback,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199018/breme-damerique
"buffalo (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,buffalofish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199019/buffalo
"blanche rayée (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,striped mojarra,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199020/blanche-rayee
"carangue jaune (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,blue runner,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199021/carangue-jaune
"carangue crevalle (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1989-09-01,,crevalle jack,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199022/carangue-crevalle
"barracuda (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-16,1989-09-01,,barracuda,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199023/barracuda
"baliste (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-08-29,1989-09-01,,triggerfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199024/baliste
"badèche gueule jaune (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-08-29,1989-09-01,,yellowmouth grouper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199025/badeche-gueule-jaune
"badèche créole (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-08-29,1989-09-01,,creole fish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199026/badeche-creole
"anchois (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-09-14,1989-09-01,,anchovy,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199027/anchois
"aiguillat noir (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-08-30,1989-09-01,,black dogfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199028/aiguillat-noir
"alose tyran (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-08-30,1989-09-01,,menhaden,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199029/alose-tyran
"alose à gésier (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-03-15,1989-09-01,,gizzard shad,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199030/alose-a-gesier
"pulpe (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1991-02-01,"Chair broyée obtenue par extraction, au moyen d'un appareil appelé <I>désosseuse mécanique</I>.",fish mince,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199031/pulpe
"poisson entier (n. m.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1991-02-01,"Poisson qui a toutes ses parties, c'est-à-dire non étêté, non éviscéré.",whole fish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199032/poisson-entier
"gel (n. m.)",normalisation,"alimentation > composition des aliments",1998-01-01,1991-02-01,"Substance élastique homogène et transparente, formée par la pénétration d'un liquide dans une masse solide colloïdale (ex. : gelée de fruits).",gel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199033/gel
"chair de poisson (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1991-02-01,Tissu musculaire généralement préparé sous forme de filet.,flesh,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199035/chair-de-poisson
"chair de mollusque (n. f.)",normalisation,"zoologie > malacologie",1998-01-01,1991-02-01,Tissu musculaire.,meat,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199036/chair-de-mollusque
"chair de crustacé (n. f.)",normalisation,"zoologie > crustacéologie",1998-01-01,1991-02-01,Tissu musculaire extrait de la carapace.,meat,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199037/chair-de-crustace
"carcasse (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1991-02-01,Résidu d'un poisson après filetage.,fish frame,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199038/carcasse
"tête (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,head,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199039/tete
"tentacule (n. m.)",normalisation,"zoologie > malacologie",1998-01-01,1990-07-01,,tentacle,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199040/tentacule
"pince (n. f.)",normalisation,"zoologie > crustacéologie",1998-01-01,1990-07-01,,claw,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199041/pince
"rogue (n. f.)",normalisation,"zoologie > ichtyologie;pêche > équipement de pêche;alimentation > produit de la pêche",2012-07-30,1990-07-01,,roe,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199042/rogue
"section (n. f.)",normalisation,"zoologie > crustacéologie",1998-01-01,1990-07-01,,section,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199044/section
"surimi brut (n. m.)",normalisation,"alimentation > surimi",1998-01-01,1991-02-01,Pâte constituée de protéines myofibrillaires de poisson sans aucun additif.,raw surimi,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199046/surimi-brut
"surimi (n. m.)",normalisation,"alimentation > surimi",1998-01-01,1991-02-01,"Pâte constituée de protéines myofibrillaires de poisson, additionnée de cryoprotecteurs (sucres, sels), servant notamment à la fabrication des simili-fruits de mer.",surimi,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199047/surimi
"pâte de surimi (n. f.)",normalisation,"alimentation > surimi",1998-01-01,1991-02-01,"Pâte obtenue en mélangeant du surimi à d'autres ingrédients (arômes, épices, colorants, etc.) en vue de la préparation des simili-fruits de mer.",surimi paste,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199055/pate-de-surimi
"croustille de surimi (n. f.)",normalisation,"alimentation > surimi",1998-01-01,1991-02-01,Amuse-gueule frit à base de surimi.,surimi chip,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199058/croustille-de-surimi
"bloc de surimi (n. m.)",normalisation,"alimentation > surimi",1998-01-01,1991-02-01,Quantité donnée de surimi ayant la forme d'un bloc parallélépipédique et présentée à l'état congelé.,surimi block,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199060/bloc-de-surimi
"siphon (n. m.)",normalisation,"zoologie > malacologie",1998-01-01,1990-07-01,,siphon,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199061/siphon
"pétoncle (n. m.)",normalisation,"zoologie > malacologie",1998-01-01,1990-07-01,,scallop,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199062/petoncle
"pétoncle (n. m.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",1998-01-01,1980-12-01,,scallop,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199064/petoncle
"patte (n. f.)",normalisation,"zoologie > crustacéologie",1998-01-01,1990-07-01,,leg,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199065/patte
"langue (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,tongue,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199066/langue
"œufs (n. m. pl.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,roe,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199067/oeufs
"laitance (n. f.)",normalisation,"alimentation > produit de la pêche;zoologie > ichtyologie",2012-07-31,1990-07-01,,milt,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199069/laitance
"joue (n. f.)",normalisation,"alimentation > produit de la pêche",2012-07-31,1990-07-01,,cheek,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199070/joue
"foie (n. m.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,liver,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199072/foie
"barbes (n. f. pl.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,scallop rings,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199073/barbes
"aileron (n. m.)",normalisation,"alimentation > produit de la pêche;zoologie",2012-07-30,1990-07-01,Nageoire de certains poissons cartilagineux.,fin,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199074/aileron
"aile (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,wing,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199075/aile
"queue (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-01-01,,tail,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199076/queue
"segment (n. m.)",normalisation,"zoologie > crustacéologie",1998-01-01,1990-07-01,Partie articulée d'une patte de gros crustacé.,legs,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199077/segment
"corail (n. m.)",normalisation,"zoologie > crustacéologie;zoologie > malacologie",2012-07-30,1990-07-01,Gonade de certains crustacés et mollusques.,roe,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199078/corail
"sprat (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1994-09-01,,sprat,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199079/sprat
"suceur ballot (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1994-09-01,,mullet,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199080/suceur-ballot
"cuisse (n. f.)",normalisation,"alimentation > produit de la pêche",1998-01-01,1990-07-01,,leg,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199081/cuisse
"pitot (n. m.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-08-30,1994-09-01,,Banks clam,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199082/pitot
"palourde japonaise (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-08-30,1994-09-01,,Manila clam,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199083/palourde-japonaise
"palourde du Pacifique (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-08-30,1994-09-01,,native littleneck clam,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199084/palourde-du-pacifique
"ormeau nordique (n. m.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-08-30,1994-09-01,,northern abalone,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199085/ormeau-nordique
"moule verte (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-31,1994-09-01,,green mussel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199086/moule-verte
"moule barbue (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",1998-01-01,1994-09-01,,bearded horse mussel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199087/moule-barbue
"modiole (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-31,1994-09-01,,horse mussel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199088/modiole
"mactre de Stimpson (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-31,1994-09-01,,Stimpson's clam,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199089/mactre-de-stimpson
"huître portugaise (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-31,1990-07-01,,Portuguese oyster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199090/huitre-portugaise
"huître plate (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1994-09-01,,European flat oyster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199091/huitre-plate
"conque canaliculée (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1994-09-01,,channeled whelk,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199093/conque-canaliculee
"conque à nodules (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1994-09-01,,knobbed whelk,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199094/conque-a-nodules
"calmar opale (n. m.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1994-09-01,,opal squid,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199095/calmar-opale
"pouce-pied (n. m.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2012-08-30,1994-09-01,,barnacle,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199096/pouce-pied
"crevette tigrée (n. f.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2012-07-30,1994-09-01,,giant tiger prawn,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199097/crevette-tigree
"crevette nordique (n. f.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2012-07-30,1994-09-01,,pink shrimp,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199098/crevette-nordique
"crevette ésope (n. f.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2012-07-30,1994-09-01,,striped pink shrimp,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199099/crevette-esope
"vivaneau vermillon (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1994-09-01,,vermilion snapper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199100/vivaneau-vermillon
"vivaneau soie (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",1998-01-01,1994-09-01,,silk snapper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199101/vivaneau-soie
"vivaneau rouge (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1994-09-01,,red snapper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199102/vivaneau-rouge
"vivaneau oreille noire (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-05-03,1994-09-01,,blackfin snapper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1199103/vivaneau-oreille-noire
